round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,6407,11924,17035,30250,209,22.6809,22.6809,0.00150948,0.00331513
0,1,2,1,1,4559,10076,11563,24778,209,31.6009,31.6009,0.000963155,0.00225117
0,2,2,1,1,4918,10100,13938,28391,265,19.4418,19.4418,0.000937066,0.0024338
0,3,2,1,1,3070,8252,8466,22919,265,28.5618,28.5618,0.000716417,0.00176898
0,4,2,1,1,4764,9946,13482,27935,265,20.2018,20.2018,0.000904067,0.00261012
0,5,2,1,1,2916,8098,8010,22463,265,29.3218,29.3218,0.000682457,0.00170281
0,6,2,1,1,5945,11462,15667,28882,209,24.9609,24.9609,0.00117287,0.00271292
0,7,2,1,1,2762,7944,7554,22007,265,30.0818,30.0818,0.000683017,0.00173145
0,8,2,1,1,4456,9638,12570,27023,265,21.7218,21.7218,0.000890126,0.00232971
0,9,2,1,1,3943,9448,9739,22939,209,34.6409,34.6409,0.000894712,0.002033
0,10,2,1,1,5072,10254,14394,28847,265,18.6818,18.6818,0.00107927,0.00252565
0,11,2,1,1,3224,8406,8922,23375,265,27.8018,27.8018,0.000733633,0.00182063
0,12,2,1,1,6253,11770,16579,29794,209,23.4409,23.4409,0.00118238,0.00287749
0,13,2,1,1,3070,8252,8466,22919,265,28.5618,28.5618,0.000889344,0.0017776
0,14,2,1,1,4764,9946,13482,27935,265,20.2018,20.2018,0.000910016,0.00236006
0,15,2,1,1,2916,8098,8010,22463,265,29.3218,29.3218,0.00070503,0.00171034
0,16,2,1,1,4610,9792,13026,27479,265,20.9618,20.9618,0.000882354,0.00230071
0,17,2,1,1,4097,9614,10195,23410,209,33.8809,33.8809,0.00089994,0.00206958
0,18,2,1,1,5791,11308,15211,28426,209,25.7209,25.7209,0.00112526,0.00264293
0,19,2,1,1,2608,7790,7098,21551,265,30.8418,30.8418,0.000669998,0.00157928
