round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,8682,16207,17035,30250,193,22.6809,22.6809,0.00190259,0.00326699
0,1,2,1,1,6162,13687,11563,24778,193,31.6009,31.6009,0.00131151,0.00228323
0,2,2,1,1,6645,13624,13938,28391,248,19.4418,19.4418,0.00122153,0.00253804
0,3,2,1,1,4125,11104,8466,22919,248,28.5618,28.5618,0.000908303,0.00178959
0,4,2,1,1,6435,13414,13482,27935,248,20.2018,20.2018,0.0011667,0.00234659
0,5,2,1,1,3915,10894,8010,22463,248,29.3218,29.3218,0.000909445,0.0017144
0,6,2,1,1,8052,15577,15667,28882,193,24.9609,24.9609,0.00152357,0.00274841
0,7,2,1,1,3705,10684,7554,22007,248,30.0818,30.0818,0.00088636,0.00172117
0,8,2,1,1,6015,12994,12570,27023,248,21.7218,21.7218,0.00112458,0.00227749
0,9,2,1,1,5322,12833,9739,22939,193,34.6409,34.6409,0.00120094,0.00204783
0,10,2,1,1,6855,13834,14394,28847,248,18.6818,18.6818,0.00133792,0.00247471
0,11,2,1,1,4335,11314,8922,23375,248,27.8018,27.8018,0.00118036,0.00184906
0,12,2,1,1,8472,15997,16579,29794,193,23.4409,23.4409,0.00158387,0.0029344
0,13,2,1,1,4125,11104,8466,22919,248,28.5618,28.5618,0.00108777,0.00177297
0,14,2,1,1,6435,13414,13482,27935,248,20.2018,20.2018,0.00117093,0.00238884
0,15,2,1,1,3915,10894,8010,22463,248,29.3218,29.3218,0.000881713,0.00170794
0,16,2,1,1,6225,13204,13026,27479,248,20.9618,20.9618,0.00124308,0.00237646
0,17,2,1,1,5532,13057,10195,23410,193,33.8809,33.8809,0.00124827,0.00209985
0,18,2,1,1,7842,15367,15211,28426,193,25.7209,25.7209,0.00149357,0.00267242
0,19,2,1,1,3495,10474,7098,21551,248,30.8418,30.8418,0.00085293,0.00159771
