round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,17035,30250,17035,30250,0,22.6809,22.6809,0.0036363,0.00317072
0,1,2,1,1,11563,24778,11563,24778,0,31.6009,31.6009,0.00243817,0.00225769
0,2,2,1,1,13938,28391,13938,28391,0,19.4418,19.4418,0.00243258,0.00240956
0,3,2,1,1,8466,22919,8466,22919,0,28.5618,28.5618,0.00175828,0.00174418
0,4,2,1,1,13482,27935,13482,27935,0,20.2018,20.2018,0.00236613,0.00233858
0,5,2,1,1,8010,22463,8010,22463,0,29.3218,29.3218,0.00169901,0.00169706
0,6,2,1,1,15667,28882,15667,28882,0,24.9609,24.9609,0.00270932,0.00271569
0,7,2,1,1,7554,22007,7554,22007,0,30.0818,30.0818,0.00165716,0.00171873
0,8,2,1,1,12570,27023,12570,27023,0,21.7218,21.7218,0.00238346,0.0022458
0,9,2,1,1,9739,22939,9739,22939,0,34.6409,34.6409,0.00204801,0.00213442
0,10,2,1,1,14394,28847,14394,28847,0,18.6818,18.6818,0.00266907,0.00267966
0,11,2,1,1,8922,23375,8922,23375,0,27.8018,27.8018,0.00180849,0.00179895
0,12,2,1,1,16579,29794,16579,29794,0,23.4409,23.4409,0.00285104,0.00315766
0,13,2,1,1,8466,22919,8466,22919,0,28.5618,28.5618,0.00176457,0.00175045
0,14,2,1,1,13482,27935,13482,27935,0,20.2018,20.2018,0.00239315,0.00235233
0,15,2,1,1,8010,22463,8010,22463,0,29.3218,29.3218,0.00170553,0.00182737
0,16,2,1,1,13026,27479,13026,27479,0,20.9618,20.9618,0.00228944,0.00230863
0,17,2,1,1,10195,23410,10195,23410,0,33.8809,33.8809,0.00210303,0.00207941
0,18,2,1,1,15211,28426,15211,28426,0,25.7209,25.7209,0.00266529,0.00277947
0,19,2,1,1,7098,21551,7098,21551,0,30.8418,30.8418,0.00158671,0.00156411
