from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,3.31,16.07,16.07,2,4,1
2,3,1.69,24.17,24.17,2,4,1
3,4,10.65,39.00,39.00,1,4,1
4,5,13.84,39.00,39.00,1,4,1
5,6,15.52,39.00,39.00,1,4,1
6,7,14.51,39.00,39.00,1,4,1
7,8,17.03,38.85,38.85,1,4,1
8,9,11.12,39.00,39.00,1,4,1
9,10,6.09,36.81,36.81,1,4,1
10,11,13.69,38.14,38.14,1,4,1
11,12,17.21,39.00,39.00,1,4,1
12,13,0.60,35.16,35.16,2,4,1
13,14,1.54,39.00,39.00,2,4,1
14,15,10.54,39.00,39.00,1,4,1
15,16,12.48,39.00,39.00,1,4,1
16,17,3.28,39.00,39.00,1,4,1
17,18,2.88,21.00,21.00,1,4,1
18,19,12.23,39.00,39.00,1,4,1
19,20,6.34,38.64,38.64,1,4,1
20,21,1.85,26.03,26.03,1,4,1
21,22,13.15,39.00,39.00,1,4,1
22,23,5.92,39.00,39.00,2,4,1
23,24,13.24,39.00,39.00,1,4,1
24,25,7.09,19.74,19.74,1,4,1
25,26,1.13,18.00,18.00,2,4,1
