rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,50,EB,Intermodal,10323,10339
2,45,EB,Intermodal,10323,10055
3,40,EB,Intermodal,10704,10339
4,40,EB,Intermodal,10704,10318
5,40,EB,Intermodal,10704,10055
6,40,EB,Intermodal,10328,10055
7,40,EB,Intermodal,10323,11538
8,40,EB,Intermodal,10323,10318
9,40,EB,Intermodal,10323,10229
10,40,EB,Intermodal,10023,10318
11,40,EB,Intermodal,10023,10055
12,30,WB,Intermodal,10229,10130
13,30,EB,Intermodal,10704,11538
14,30,EB,Intermodal,10704,10229
15,30,EB,Intermodal,10328,10318
16,30,EB,Intermodal,10242,10318
17,30,EB,Intermodal,10242,10055
18,30,EB,Intermodal,10224,11538
19,30,EB,Intermodal,10195,11538
20,30,EB,Intermodal,10195,10339
21,30,EB,Intermodal,10195,10318
22,30,EB,Intermodal,10195,10229
23,30,EB,Intermodal,10195,10055
24,30,EB,Grain,10354,10201
25,20,WB,Intermodal,11538,10247
