round,group_id,agents,group_size,priority_agent,budget,rho,conflicts_before,conflicts_after,accepted,reduced_feasible,full_feasible,reduced_states,reduced_transitions,screened,full_states,full_transitions,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,0|1,2,0,6,0.18,8,7,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000218034,0.000705897
0,1,2|3,2,2,6,0.18,7,6,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000186547,0.000406904
0,2,4|5,2,4,6,0.18,6,5,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000186547,0.000517738
0,3,6|7,2,6,6,0.18,5,4,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000182041,0.000401205
0,4,8|9,2,8,6,0.18,4,3,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000188219,0.000421285
0,5,10|11,2,10,6,0.18,3,2,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000220968,0.000400294
0,6,12|13,2,12,6,0.18,2,1,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000186036,0.000499892
0,7,14|15,2,14,6,0.18,1,0,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000180507,0.00039087
