rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,500,EB,Merchandise,10846,11060
2,490,EB,Merchandise,10846,11678
3,260,EB,Merchandise,10415,11678
4,260,EB,Merchandise,10415,11060
5,180,EB,Merchandise,10415,11697
6,180,EB,Merchandise,10415,11696
7,180,EB,Merchandise,10415,11400
8,180,EB,Merchandise,10415,10390
9,180,EB,Merchandise,10415,10163
10,170,EB,Merchandise,10415,11646
11,160,EB,Merchandise,10846,10163
12,159,EB,Merchandise,10846,11400
13,140,EB,Merchandise,10846,11697
14,140,EB,Merchandise,10846,11696
15,130,EB,Merchandise,10846,11646
16,130,EB,Merchandise,10846,10390
17,90,WB,Merchandise,11678,10273
18,79,WB,Merchandise,11678,11694
19,70,EB,Merchandise,11694,10390
20,68,WB,Merchandise,11678,10415
21,60,WB,Intermodal,10163,10281
22,60,EB,Merchandise,11699,11678
23,60,EB,Merchandise,11699,11646
24,60,EB,Merchandise,11699,11060
25,60,EB,Merchandise,11699,10390
