round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,17035,30250,17035,30250,0,22.5209,22.5209,0.00394121,0.00351596
0,1,2,1,1,11563,24778,11563,24778,0,31.4409,31.4409,0.00229186,0.0026577
0,2,2,1,1,13938,28391,13938,28391,0,19.2818,19.2818,0.00241011,0.00252624
0,3,2,1,1,8466,22919,8466,22919,0,28.4018,28.4018,0.00177246,0.00175044
0,4,2,1,1,13482,27935,13482,27935,0,20.0418,20.0418,0.002395,0.00233165
0,5,2,1,1,8010,22463,8010,22463,0,29.1618,29.1618,0.00170548,0.00168133
0,6,2,1,1,15667,28882,15667,28882,0,24.8009,24.8009,0.00292526,0.00278146
0,7,2,1,1,7554,22007,7554,22007,0,29.9218,29.9218,0.00165085,0.00169344
0,8,2,1,1,12570,27023,12570,27023,0,21.5618,21.5618,0.0022417,0.00227611
0,9,2,1,1,9739,22939,9739,22939,0,34.4809,34.4809,0.00202848,0.00225945
0,10,2,1,1,14394,28847,14394,28847,0,18.5218,18.5218,0.002577,0.00242441
0,11,2,1,1,8922,23375,8922,23375,0,27.6418,27.6418,0.00179345,0.00180224
0,12,2,1,1,16579,29794,16579,29794,0,23.2809,23.2809,0.00282344,0.00288578
0,13,2,1,1,8466,22919,8466,22919,0,28.4018,28.4018,0.0017916,0.00192479
0,14,2,1,1,13482,27935,13482,27935,0,20.0418,20.0418,0.00246527,0.00236187
0,15,2,1,1,8010,22463,8010,22463,0,29.1618,29.1618,0.00174392,0.00200512
0,16,2,1,1,13026,27479,13026,27479,0,20.8018,20.8018,0.00235106,0.0023244
0,17,2,1,1,10195,23410,10195,23410,0,33.7209,33.7209,0.00207945,0.00228153
0,18,2,1,1,15211,28426,15211,28426,0,25.5609,25.5609,0.00268163,0.00266969
0,19,2,1,1,7098,21551,7098,21551,0,30.6818,30.6818,0.00163891,0.00156863
