round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,17035,30250,17035,30250,0,22.6809,22.6809,0.00367528,0.00381642
0,1,2,1,1,11563,24778,11563,24778,0,31.6009,31.6009,0.00283007,0.00255318
0,2,2,1,1,13938,28391,13938,28391,0,19.4418,19.4418,0.00260902,0.00284533
0,3,2,1,1,8466,22919,8466,22919,0,28.5618,28.5618,0.00214347,0.00198016
0,4,2,1,1,13482,27935,13482,27935,0,20.2018,20.2018,0.00272656,0.00270424
0,5,2,1,1,8010,22463,8010,22463,0,29.3218,29.3218,0.0017987,0.00170644
0,6,2,1,1,15667,28882,15667,28882,0,24.9609,24.9609,0.00288298,0.00297507
0,7,2,1,1,7554,22007,7554,22007,0,30.0818,30.0818,0.00202763,0.00175664
0,8,2,1,1,12570,27023,12570,27023,0,21.7218,21.7218,0.00243206,0.00223966
0,9,2,1,1,9739,22939,9739,22939,0,34.6409,34.6409,0.00203171,0.00223303
0,10,2,1,1,14394,28847,14394,28847,0,18.6818,18.6818,0.00270169,0.00242516
0,11,2,1,1,8922,23375,8922,23375,0,27.8018,27.8018,0.0018025,0.00206783
0,12,2,1,1,16579,29794,16579,29794,0,23.4409,23.4409,0.00281339,0.0027859
0,13,2,1,1,8466,22919,8466,22919,0,28.5618,28.5618,0.00176902,0.00204594
0,14,2,1,1,13482,27935,13482,27935,0,20.2018,20.2018,0.00236511,0.00236096
0,15,2,1,1,8010,22463,8010,22463,0,29.3218,29.3218,0.00170156,0.00175942
0,16,2,1,1,13026,27479,13026,27479,0,20.9618,20.9618,0.00240422,0.00268043
0,17,2,1,1,10195,23410,10195,23410,0,33.8809,33.8809,0.00210739,0.0020761
0,18,2,1,1,15211,28426,15211,28426,0,25.7209,25.7209,0.00266805,0.00278276
0,19,2,1,1,7098,21551,7098,21551,0,30.8418,30.8418,0.00161828,0.00157751
