seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,713,10217,20677,0.000,1.415,1.4145,2.0,14.0,HAVRE
1,8205,20677,20678,1.415,1.762,0.3479,2.0,14.0,
2,8207,20678,21037,1.762,3.593,1.8308,2.0,14.0,
3,8899,21037,24980,3.593,5.224,1.6311,2.0,39.0,
4,16673,24980,21326,5.224,10.998,5.7735,1.0,55.0,
5,9467,21326,21325,10.998,13.856,2.8581,1.0,55.0,
6,9466,21325,21243,13.856,15.924,2.0676,1.0,55.0,
7,9303,21243,21244,15.924,23.569,7.6452,1.0,55.0,
8,9305,21244,20939,23.569,23.938,0.3693,1.0,55.0,
9,8712,20939,20940,23.938,24.975,1.0370,1.0,55.0,
10,8714,20940,21324,24.975,28.909,3.9335,1.0,55.0,
11,9463,21324,21323,28.909,29.612,0.7034,1.0,55.0,
12,9461,21323,21245,29.612,32.415,2.8025,1.0,55.0,
13,9307,21245,21246,32.415,34.453,2.0382,1.0,55.0,
14,9309,21246,21319,34.453,43.810,9.3569,1.0,55.0,
15,9454,21319,21320,43.810,44.299,0.4889,1.0,55.0,
16,9455,21320,20945,44.299,44.332,0.0330,1.0,55.0,
17,8723,20945,20946,44.332,45.892,1.5602,1.0,55.0,
18,8724,20946,21318,45.892,46.302,0.4103,1.0,55.0,
19,9451,21318,21248,46.302,46.327,0.0252,1.0,55.0,
20,9313,21248,21247,46.327,56.484,10.1568,1.0,55.0,
21,9311,21247,24970,56.484,58.196,1.7120,1.0,55.0,
22,16653,24970,21317,58.196,61.442,3.2460,1.0,55.0,
23,9450,21317,21316,61.442,61.839,0.3974,1.0,55.0,
24,9447,21316,20792,61.839,66.182,4.3423,1.0,55.0,
25,8433,20792,20753,66.182,71.435,5.2532,1.0,55.0,
26,8354,20753,20754,71.435,72.283,0.8478,1.0,55.0,
27,8355,20754,21174,72.283,78.096,5.8135,1.0,55.0,
28,9172,21174,20751,78.096,80.252,2.1560,1.0,55.0,
29,8349,20751,20752,80.252,89.018,8.7654,1.0,55.0,
30,8351,20752,21315,89.018,90.685,1.6675,1.0,55.0,
31,9446,21315,21172,90.685,91.505,0.8198,1.0,55.0,
32,9167,21172,20799,91.505,101.652,10.1473,1.0,55.0,
33,8447,20799,20800,101.652,103.317,1.6648,1.0,55.0,
34,8449,20800,20801,103.317,114.010,10.6934,1.0,55.0,
35,8451,20801,21313,114.010,114.613,0.6028,1.0,55.0,
36,9441,21313,21314,114.613,115.993,1.3797,1.0,55.0,
37,9444,21314,21230,115.993,116.018,0.0255,1.0,55.0,
38,9281,21230,21229,116.018,116.995,0.9764,1.0,55.0,
39,9279,21229,20788,116.995,118.318,1.3228,1.0,55.0,
40,8424,20788,20789,118.318,127.421,9.1038,1.0,55.0,
41,8427,20789,21136,127.421,130.032,2.6110,1.0,55.0,
42,9096,21136,21137,130.032,137.591,7.5591,1.0,42.0,
43,9097,21137,20697,137.591,138.383,0.7913,1.0,55.0,
44,8245,20697,20695,138.383,142.631,4.2487,1.0,55.0,
45,8240,20695,20696,142.631,144.327,1.6956,1.0,55.0,
46,8243,20696,20694,144.327,149.510,5.1827,1.0,55.0,
47,8239,20694,20692,149.510,150.300,0.7901,1.0,55.0,
48,8234,20692,20693,150.300,153.984,3.6845,1.0,55.0,
49,8236,20693,21065,153.984,154.021,0.0368,1.0,25.0,
50,8956,21065,21066,154.021,154.857,0.8362,2.0,25.0,
51,8957,21066,24968,154.857,155.307,0.4495,2.0,39.0,
52,16650,24968,20690,155.307,155.470,0.1628,2.0,39.0,
53,8230,20690,20691,155.470,156.326,0.8563,2.0,46.0,
54,8233,20691,21067,156.326,156.384,0.0579,2.0,46.0,
55,8959,21067,20688,156.384,167.806,11.4217,2.0,55.0,
56,8226,20688,20689,167.806,169.542,1.7366,2.0,55.0,
57,8228,20689,20686,169.542,179.009,9.4667,2.0,55.0,
58,8223,20686,20687,179.009,180.695,1.6866,2.0,55.0,
59,8224,20687,20958,180.695,185.681,4.9854,2.0,55.0,
60,8749,20958,20959,185.681,192.233,6.5519,2.0,55.0,
61,8751,20959,20684,192.233,193.936,1.7033,2.0,55.0,
62,8219,20684,20685,193.936,194.462,0.5255,2.0,55.0,
63,8220,20685,21268,194.462,202.424,7.9627,2.0,55.0,
64,9351,21268,10367,202.424,203.827,1.4024,2.0,55.0,
