round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,3311,6151,17035,30250,218,22.6809,22.6809,0.000766341,0.0033497
0,1,2,1,1,2375,5215,11563,24778,218,31.6009,31.6009,0.000563169,0.00230498
0,2,2,1,1,2548,5223,13938,28391,244,19.4418,19.4418,0.000499644,0.00248215
0,3,2,1,1,1612,4287,8466,22919,244,28.5618,28.5618,0.000398473,0.00180916
0,4,2,1,1,2470,5145,13482,27935,244,20.2018,20.2018,0.000482559,0.00250795
0,5,2,1,1,1534,4209,8010,22463,244,29.3218,29.3218,0.000433736,0.00171119
0,6,2,1,1,3077,5917,15667,28882,218,24.9609,24.9609,0.000619041,0.00289711
0,7,2,1,1,1456,4131,7554,22007,244,30.0818,30.0818,0.000385424,0.00195986
0,8,2,1,1,2314,4989,12570,27023,244,21.7218,21.7218,0.000459735,0.00225369
0,9,2,1,1,2063,4895,9739,22939,218,34.6409,34.6409,0.000504891,0.00202379
0,10,2,1,1,2626,5301,14394,28847,244,18.6818,18.6818,0.000609928,0.00252401
0,11,2,1,1,1690,4365,8922,23375,244,27.8018,27.8018,0.000387607,0.00188795
0,12,2,1,1,3233,6073,16579,29794,218,23.4409,23.4409,0.000619913,0.00294699
0,13,2,1,1,1612,4287,8466,22919,244,28.5618,28.5618,0.000567154,0.00176518
0,14,2,1,1,2470,5145,13482,27935,244,20.2018,20.2018,0.000478923,0.00252937
0,15,2,1,1,1534,4209,8010,22463,244,29.3218,29.3218,0.000376481,0.00179355
0,16,2,1,1,2392,5067,13026,27479,244,20.9618,20.9618,0.000488567,0.00231974
0,17,2,1,1,2141,4981,10195,23410,218,33.8809,33.8809,0.000491822,0.00208416
0,18,2,1,1,2999,5839,15211,28426,218,25.7209,25.7209,0.00060443,0.00268317
0,19,2,1,1,1378,4053,7098,21551,244,30.8418,30.8418,0.000351754,0.00158674
