seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
181,55615,43779,43780,264.739,267.471,2.7320,2.0,28.0,
182,55616,43780,44195,267.471,269.003,1.5319,2.0,28.0,
183,56457,44195,44196,269.003,271.613,2.6108,2.0,28.0,
184,56459,44196,38764,271.613,271.841,0.2274,2.0,28.0,
185,45205,38764,38763,271.841,272.450,0.6091,2.0,28.0,
186,45201,38763,43274,272.450,273.070,0.6205,2.0,28.0,
187,54543,43274,42402,273.070,273.949,0.8789,2.0,28.0,
188,52745,42402,42403,273.949,279.861,5.9115,2.0,28.0,
189,52747,42403,40594,279.861,281.322,1.4608,2.0,28.0,
190,48975,40594,40593,281.322,281.713,0.3909,2.0,28.0,
191,48974,40593,40591,281.713,281.918,0.2054,2.0,28.0,
192,48969,40591,40592,281.918,282.102,0.1842,2.0,28.0,
193,48972,40592,11302,282.102,282.617,0.5148,2.0,28.0,
194,4563,11302,42714,282.617,283.913,1.2958,2.0,28.0,IRONTON
195,53399,42714,42715,283.913,287.162,3.2496,2.0,28.0,
196,53400,42715,43272,287.162,289.193,2.0310,2.0,28.0,
197,54539,43272,43329,289.193,289.814,0.6209,2.0,28.0,
198,54658,43329,43330,289.814,290.763,0.9489,2.0,28.0,
199,54659,43330,40589,290.763,290.810,0.0465,2.0,28.0,
200,48966,40589,40590,290.810,290.931,0.1216,2.0,28.0,
201,48968,40590,40701,290.931,292.270,1.3391,2.0,28.0,
202,49191,40701,40587,292.270,293.811,1.5405,2.0,28.0,
203,48962,40587,40588,293.811,296.543,2.7323,2.0,28.0,
204,48964,40588,41892,296.543,300.023,3.4806,2.0,28.0,
205,51708,41892,41887,300.023,300.641,0.6176,2.0,28.0,
206,51698,41887,40700,300.641,305.006,4.3650,2.0,28.0,
207,49190,40700,40699,305.006,305.845,0.8392,2.0,23.0,
208,49187,40699,40698,305.845,306.021,0.1753,2.0,18.0,
209,49186,40698,40697,306.021,306.208,0.1877,2.0,18.0,
210,49183,40697,40696,306.208,306.627,0.4187,2.0,18.0,
211,49181,40696,44019,306.627,306.657,0.0304,2.0,18.0,
212,56106,44019,44018,306.657,307.567,0.9095,2.0,18.0,
213,56103,44018,10909,307.567,308.711,1.1441,2.0,18.0,
