round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,9318,17429,14290,23581,175,33.9208,33.9208,0.00213934,0.00265574
0,1,2,1,1,6555,16256,11433,25864,279,27.5158,27.5158,0.00158766,0.00227538
0,2,2,1,1,6235,15936,10839,25270,279,28.3158,28.3158,0.00135827,0.00220897
0,3,2,1,1,8340,16438,12508,21785,175,36.3208,36.3208,0.00163318,0.00223401
0,4,2,1,1,6875,16576,12027,26458,279,26.7158,26.7158,0.00143457,0.00247909
0,5,2,1,1,6555,16256,11433,25864,279,27.5158,27.5158,0.00148849,0.0022812
