round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,1511,3142,14290,23581,270,33.9208,33.9208,0.000383662,0.00277417
0,1,2,1,1,985,2574,11433,25864,269,27.5158,27.5158,0.000257614,0.00221455
0,2,2,1,1,943,2532,10839,25270,269,28.3158,28.3158,0.000208911,0.00215236
0,3,2,1,1,1385,3011,12508,21785,270,36.3208,36.3208,0.000296442,0.00215886
0,4,2,1,1,1027,2616,12027,26458,269,26.7158,26.7158,0.000256121,0.00226624
0,5,2,1,1,985,2574,11433,25864,269,27.5158,27.5158,0.000214029,0.0022213
