round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,13614,24911,17035,30250,99,22.6809,22.6809,0.00290732,0.0031353
0,1,2,1,1,9414,20711,11563,24778,99,31.6009,31.6009,0.00195546,0.00226548
0,2,2,1,1,10823,22131,13938,28391,114,19.4418,19.4418,0.00194212,0.00243731
0,3,2,1,1,6623,17931,8466,22919,114,28.5618,28.5618,0.00146197,0.00201281
0,4,2,1,1,10473,21781,13482,27935,114,20.2018,20.2018,0.00191646,0.00288946
0,5,2,1,1,6273,17581,8010,22463,114,29.3218,29.3218,0.00140201,0.00174489
0,6,2,1,1,12564,23861,15667,28882,99,24.9609,24.9609,0.00232872,0.0031336
0,7,2,1,1,5923,17231,7554,22007,114,30.0818,30.0818,0.00133425,0.00183722
0,8,2,1,1,9773,21081,12570,27023,114,21.7218,21.7218,0.00180482,0.00226054
0,9,2,1,1,8014,19296,9739,22939,99,34.6409,34.6409,0.00173913,0.00212058
0,10,2,1,1,11173,22481,14394,28847,114,18.6818,18.6818,0.00209197,0.00244487
0,11,2,1,1,6973,18281,8922,23375,114,27.8018,27.8018,0.00147098,0.00180513
0,12,2,1,1,13264,24561,16579,29794,99,23.4409,23.4409,0.0023886,0.0028485
0,13,2,1,1,6623,17931,8466,22919,114,28.5618,28.5618,0.00159312,0.00202611
0,14,2,1,1,10473,21781,13482,27935,114,20.2018,20.2018,0.00188413,0.00236782
0,15,2,1,1,6273,17581,8010,22463,114,29.3218,29.3218,0.00137458,0.00192121
0,16,2,1,1,10123,21431,13026,27479,114,20.9618,20.9618,0.00254044,0.00248538
0,17,2,1,1,8364,19661,10195,23410,99,33.8809,33.8809,0.0018138,0.00214375
0,18,2,1,1,12214,23511,15211,28426,99,25.7209,25.7209,0.00225344,0.00271568
0,19,2,1,1,5573,16881,7098,21551,114,30.8418,30.8418,0.00135803,0.00160047
