rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,50,WB,Merchandise,10534,10573
2,50,WB,Intermodal,10539,10573
3,50,WB,Intermodal,10539,10117
4,50,EB,Grain,10573,10539
5,46,WB,Merchandise,10534,10556
6,40,WB,Intermodal,10539,10550
7,40,WB,Intermodal,10539,10088
8,40,EB,Merchandise,10573,10539
9,30,WB,Intermodal,10539,10579
10,30,WB,Intermodal,10539,10556
11,30,EB,Merchandise,10573,10579
12,20,WB,Merchandise,10534,11639
13,20,WB,Intermodal,10539,11753
14,20,WB,Intermodal,10539,11095
15,20,EB,Merchandise,10088,10539
16,20,EB,Merchandise,10088,10534
17,20,EB,Grain,10573,11152
18,20,EB,Grain,10573,10602
19,20,EB,Grain,10573,10581
20,20,EB,Grain,10573,10580
21,20,EB,Grain,10573,10534
22,10,WB,Merchandise,10534,10578
23,10,WB,Intermodal,10607,10550
24,10,WB,Intermodal,10539,10605
25,10,WB,Intermodal,10539,10578
