seq,l3_link_id,from_node_id,to_node_id,mp_start,mp_end,length,tracks,free_speed,name
0,1973,10579,34061,0.000,0.505,0.5048,2.0,41.0,PITTSBURG
1,35338,34061,31500,0.505,1.204,0.6993,2.0,41.0,
2,30054,31500,31501,1.204,1.248,0.0439,2.0,41.0,
3,30057,31501,30318,1.248,1.326,0.0782,2.0,41.0,
4,27638,30318,30319,1.326,1.380,0.0536,2.0,41.0,
5,27639,30319,34106,1.380,1.663,0.2834,2.0,41.0,
6,35425,34106,33686,1.663,1.900,0.2370,1.0,41.0,
7,34592,33686,31747,1.900,2.057,0.1569,1.0,41.0,
8,30564,31747,30225,2.057,2.150,0.0929,1.0,41.0,
9,27437,30225,30224,2.150,6.248,4.0979,1.0,41.0,
10,27434,30224,33572,6.248,7.566,1.3185,1.0,41.0,
11,34375,33572,33484,7.566,8.131,0.5649,1.0,41.0,
12,34201,33484,33485,8.131,10.886,2.7549,1.0,41.0,
13,34203,33485,31300,10.886,11.391,0.5043,1.0,41.0,
14,29653,31300,30347,11.391,12.284,0.8938,1.0,41.0,
15,27700,30347,30348,12.284,13.729,1.4444,1.0,41.0,
16,27702,30348,31897,13.729,19.530,5.8012,1.0,41.0,
17,30862,31897,31898,19.530,25.322,5.7925,1.0,41.0,
18,30864,31898,33220,25.322,26.745,1.4230,1.0,41.0,
19,33639,33220,33221,26.745,26.917,0.1713,1.0,41.0,
20,33641,33221,29275,26.917,27.390,0.4735,1.0,41.0,
21,25491,29275,29276,27.390,27.499,0.1082,1.0,41.0,
22,25493,29276,35900,27.499,27.645,0.1461,1.0,41.0,
23,39087,35900,34969,27.645,29.827,2.1821,1.0,41.0,
24,37162,34969,33219,29.827,30.321,0.4944,1.0,41.0,
25,33636,33219,29782,30.321,30.547,0.2264,1.0,41.0,
26,26527,29782,29783,30.547,32.049,1.5012,1.0,41.0,
27,26530,29783,34511,32.049,32.606,0.5577,1.0,41.0,
28,36242,34511,34512,32.606,33.339,0.7326,1.0,41.0,
29,36243,34512,33868,33.339,41.186,7.8473,1.0,41.0,
30,34955,33868,33869,41.186,42.021,0.8346,1.0,41.0,
31,34956,33869,31661,42.021,42.987,0.9658,1.0,41.0,
32,30391,31661,31662,42.987,44.462,1.4753,1.0,41.0,
33,30393,31662,31230,44.462,44.989,0.5273,1.0,41.0,
34,29505,31230,31231,44.989,45.383,0.3937,1.0,41.0,
35,29507,31231,32998,45.383,46.052,0.6690,1.0,41.0,
36,33185,32998,30189,46.052,46.497,0.4448,1.0,41.0,
37,27363,30189,30190,46.497,49.257,2.7600,1.0,41.0,
38,27364,30190,33581,49.257,49.645,0.3886,1.0,41.0,
39,34392,33581,30097,49.645,49.867,0.2214,1.0,41.0,
40,27185,30097,30098,49.867,49.897,0.0299,1.0,41.0,
41,27186,30098,31760,49.897,50.523,0.6259,1.0,41.0,
42,30592,31760,31759,50.523,50.908,0.3856,1.0,41.0,
43,30590,31759,32238,50.908,51.320,0.4116,1.0,41.0,
44,31613,32238,32237,51.320,52.900,1.5807,1.0,41.0,
45,31612,32237,34859,52.900,54.796,1.8955,1.0,41.0,
46,36940,34859,31178,54.796,55.160,0.3643,1.0,41.0,
47,29399,31178,31177,55.160,56.745,1.5849,1.0,41.0,
48,29397,31177,34648,56.745,64.001,7.2561,1.0,41.0,
49,36514,34648,33033,64.001,64.331,0.3299,1.0,41.0,
