round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,13842,23150,14290,23581,17,33.9208,33.9208,0.00288717,0.00240895
0,1,2,1,1,10845,24916,11433,25864,40,27.5158,27.5158,0.00211262,0.00216905
0,2,2,1,1,10285,24356,10839,25270,40,28.3158,28.3158,0.00208243,0.00211882
0,3,2,1,1,12162,21456,12508,21785,17,36.3208,36.3208,0.00210119,0.00215904
0,4,2,1,1,11405,25476,12027,26458,40,26.7158,26.7158,0.00215429,0.00227838
0,5,2,1,1,10845,24916,11433,25864,40,27.5158,27.5158,0.0020999,0.0021662
