round,group_id,agents,group_size,priority_agent,budget,rho,conflicts_before,conflicts_after,accepted,reduced_feasible,full_feasible,reduced_states,reduced_transitions,screened,full_states,full_transitions,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,0|1,2,0,6,0.18,16,15,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000230292,0.000475015
0,1,2|3,2,2,6,0.18,15,14,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000196221,0.000469116
0,2,4|5,2,4,6,0.18,14,13,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000194038,0.000427714
0,3,6|7,2,6,6,0.18,13,12,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000190222,0.000435236
0,4,8|9,2,8,6,0.18,12,11,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000191384,0.000425541
0,5,10|11,2,10,6,0.18,11,10,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000184714,0.000403088
0,6,12|13,2,12,6,0.18,10,9,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000186897,0.000419923
0,7,14|15,2,14,6,0.18,9,8,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000184194,0.000438891
0,8,16|17,2,16,6,0.18,8,7,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000190833,0.000419102
0,9,18|19,2,18,6,0.18,7,6,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.00024224,0.000423769
0,10,20|21,2,20,6,0.18,6,5,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000191504,0.000520462
0,11,22|23,2,22,6,0.18,5,4,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000191063,0.000406934
0,12,24|25,2,24,6,0.18,4,3,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000191944,0.00041824
0,13,26|27,2,26,6,0.18,3,2,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000189902,0.0014211
0,14,28|29,2,28,6,0.18,2,1,1,1,1,550,1705,108,1441,3943,14.04,14.04,0.000198345,0.000426634
0,15,30|31,2,30,6,0.18,1,0,1,1,1,520,1675,108,1343,3845,14.49,14.49,0.000191014,0.000406994
